j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,3,34,3,-1,43.013,1.238,0.080982,0.007176,1.549512,0.144839,0.49543,0.118103,28.593213,275.798176,2827.927353,1767.454595
1,3,35,3,-1,44.175,1.178,0.071055,0.005467,1.262916,0.144015,0.328928,0.069893,29.27334,182.6223,1714.216587,1071.385367
1,3,36,3,-1,45.57,1.106,0.083101,0.005945,1.261786,0.137741,0.228267,0.046509,30.081988,125.653385,1166.65896,729.16185
1,3,37,3,-1,46.5,1.067,0.10181,0.007026,1.260441,0.129692,0.151218,0.029905,30.613944,83.170738,764.823454,478.014659
1,3,38,3,-1,47.07,1.028,0.125254,0.008147,1.25997,0.123832,0.099353,0.018988,30.921507,53.710483,483.17692,301.985575
1,3,39,3,-1,47.256,0.995,0.136547,0.009228,1.267409,0.108141,0.081649,0.016283,31.032968,43.03092,405.520236,253.450147
1,3,40,3,-1,47.442,0.905,0.14567,0.010299,1.286711,0.091921,0.063339,0.013268,31.151038,30.593442,304.045797,190.028623
1,3,41,3,-1,47.628,0.748,0.148063,0.010859,1.295289,0.079252,0.043003,0.009382,31.273524,17.302907,179.785253,112.365783
1,3,42,3,-1,47.814,0.501,0.138621,0.01052,1.291818,0.07118,0.021402,0.004849,31.402624,5.815546,63.00401,39.377506
1,3,43,3,-1,48,0.07,0.999945,-0.999938,1.288962,0.069397,0,0,0.001929,0,0,0
1,4,1,3,1,1.3,2.4,0.333333,5.323407,0,0.355805,0.051202,-0.03946,8.416716,4.78795,-4.796879,-2.998049
1,4,2,3,1,2.325,2.358,0.333333,2.78238,0,0.356176,0.067226,-0.055424,8.640222,6.508716,-12.476066,-7.797541
1,4,3,3,1,3.45,2.259,0.333333,1.742671,0,0.355657,0.079944,-0.070917,8.911705,7.888341,-24.141759,-15.088599
1,4,4,3,1,5.45,2.338,0.333333,0.971492,0,0.359755,0.097305,-0.098016,9.46261,11.203768,-61.506846,-38.441779
1,4,5,3,1,7.45,2.339,0.333333,0.62915,0,0.3626,0.109305,-0.124373,10.098897,14.340987,-121.569277,-75.980798
1,4,6,3,1,9.3,2.848,0.333333,0.45276,0,0.373899,0.120016,-0.152015,10.758642,21.759838,-256.322438,-160.201524
1,4,7,3,1,11.625,3.708,0.096997,0.049979,0.751656,0.421137,0.193654,0.072586,11.821137,55.188245,240.473048,150.295655
1,4,8,3,1,12.555,3.672,0.154722,0.127153,1.570445,0.302712,0.387554,0.249685,12.234254,117.152692,947.608323,592.255202
1,4,9,3,1,13.95,3.418,0.134764,0.094278,1.561034,0.298976,0.432369,0.263528,12.879788,134.836372,1146.445101,716.528188
1,4,10,3,1,15.113,3.196,0.12072,0.074333,1.555367,0.295144,0.470729,0.27357,13.427214,149.180511,1310.270721,818.9192
1,4,11,3,1,16.275,3.002,0.109453,0.059564,1.547622,0.289891,0.508882,0.281578,13.980966,164.234721,1478.999146,924.374466
1,4,12,3,1,17.438,2.833,0.100349,0.048456,1.538356,0.283334,0.546247,0.287736,14.543397,180.023906,1653.60541,1033.503381
1,4,13,3,1,18.6,2.687,0.093004,0.040044,1.527162,0.275942,0.581989,0.29187,15.114385,196.483565,1832.796042,1145.497527
1,4,14,3,1,19.763,2.561,0.087014,0.033582,1.514961,0.267671,0.615694,0.294329,15.695295,213.636688,2018.354959,1261.471849
1,4,15,3,1,20.925,2.452,0.082284,0.028607,1.504825,0.259301,0.648152,0.295723,16.284451,231.796182,2212.994207,1383.121379
1,4,16,3,1,22.088,2.358,0.078343,0.024705,1.493071,0.250336,0.677218,0.295411,16.883597,250.359942,2412.237043,1507.648152
1,4,17,3,1,23.25,2.276,0.07812,0.022553,1.539906,0.244338,0.732107,0.307754,17.486429,280.22831,2738.821162,1711.763226
1,4,18,3,1,24.413,2.203,0.075658,0.020009,1.532362,0.234154,0.757437,0.306316,18.101406,300.710327,2968.884229,1855.552643
1,4,19,3,1,25.575,2.138,0.073708,0.017964,1.525068,0.223108,0.778773,0.30408,18.723349,321.031865,3205.833749,2003.646093
1,4,20,3,1,26.738,2.078,0.072248,0.01624,1.519136,0.213903,0.797081,0.300122,19.351548,341.147392,3434.517182,2146.573239
1,4,21,3,1,27.9,2.018,0.070903,0.01477,1.511981,0.204288,0.809919,0.294905,19.985915,359.065573,3647.689578,2279.805987
1,4,22,3,1,29.063,1.958,0.069967,0.013583,1.510221,0.194349,0.82074,0.290115,20.626802,376.049511,3863.22218,2414.513863
1,4,23,3,1,30.225,1.898,0.069196,0.012573,1.509927,0.184897,0.827357,0.284347,21.272641,390.836262,4059.917709,2537.448568
1,4,24,3,1,31.388,1.838,0.068695,0.011661,1.510385,0.177423,0.829587,0.276594,21.922741,403.050812,4217.985555,2636.240972
