j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,3,21,3,-1,27.9,2.018,0.053548,0.010824,1.534405,0.237034,1.463981,0.517051,20.006538,650.374131,6408.627288,4005.392055
1,3,22,3,-1,29.063,1.958,0.053018,0.009932,1.527918,0.227723,1.462149,0.498507,20.644817,671.102907,6649.811147,4156.131967
1,3,23,3,-1,30.225,1.898,0.052468,0.00914,1.522459,0.21888,1.460759,0.481636,21.288273,691.063876,6886.917689,4304.323556
1,3,24,3,-1,31.388,1.838,0.051913,0.008405,1.517782,0.212083,1.460371,0.464713,21.936944,710.433894,7095.924625,4434.952891
1,3,25,3,-1,32.55,1.778,0.051253,0.007748,1.512281,0.204691,1.458411,0.449366,22.590233,727.806086,7299.395619,4562.122262
1,3,26,3,-1,33.713,1.718,0.050649,0.007182,1.510481,0.197233,1.459347,0.436761,23.248605,745.312333,7520.059212,4700.037007
1,3,27,3,-1,34.875,1.658,0.051193,0.006974,1.547438,0.18486,1.493757,0.444329,23.911866,778.850362,8079.655185,5049.784491
1,3,28,3,-1,36.038,1.598,0.05045,0.006469,1.546009,0.178659,1.494992,0.432505,24.577813,793.715673,8275.178257,5171.986411
1,3,29,3,-1,37.2,1.538,0.049624,0.005998,1.544353,0.173058,1.495899,0.421025,25.246534,806.537788,8444.49133,5277.807081
1,3,30,3,-1,38.363,1.478,0.0487,0.005542,1.543231,0.169263,1.497651,0.408967,25.918662,817.848465,8567.671733,5354.794833
1,3,31,3,-1,39.525,1.418,0.047813,0.005152,1.544857,0.164065,1.501179,0.399952,26.593518,827.985747,8719.074736,5449.42171
1,3,32,3,-1,40.688,1.358,0.046844,0.004787,1.546636,0.159246,1.504754,0.391353,27.271632,835.892349,8845.457074,5528.410672
1,3,33,3,-1,41.85,1.298,0.04578,0.004423,1.547712,0.156334,1.5081,0.381428,27.951191,841.139677,8903.206963,5564.504352
1,3,34,3,-1,43.013,1.238,0.044621,0.004063,1.548099,0.155287,1.511195,0.370152,28.633227,843.615416,8888.000078,5555.000049
1,3,35,3,-1,44.175,1.178,0.035385,0.002788,1.265107,0.153771,1.245266,0.271024,29.318635,693.517779,6667.763165,4167.351978
1,3,36,3,-1,45.57,1.106,0.034017,0.002514,1.264433,0.150771,1.246063,0.262395,30.142629,688.684056,6608.666713,4130.416695
1,3,37,3,-1,46.5,1.067,0.033319,0.002373,1.263709,0.147545,1.245866,0.257965,30.693482,688.796426,6631.815402,4144.884626
1,3,38,3,-1,47.07,1.028,0.032411,0.002242,1.263741,0.14769,1.246789,0.253715,31.031758,678.830709,6502.185632,4063.86602
